"A","8","A70","A78",
"A","1","A13","A13",
"A","1","A15","A29",
"A","1","A01","A11",
"A","2","A30","A49",
"A","3","A50","A59",
"A","4","A60","A61",
"A","5","A62","A62",
"A","6","A63","A69",
"A","9","A79","A79",
"A","10","A80","A89",
"A","11","A90","A90",
"A","12","A91","A99",
"B","1","B87","B87",
"B","1","B02","B29",
"B","1","B84","B84",
"B","2","B30","B49",
"B","3","B50","B59",
"B","4","B60","B61",
"B","5","B62","B62",
"B","6","B63","B69",
"B","8","B70","B71",
"B","8","B90","B90",
"B","9","B72","B75",
"B","10","B76","B77",
"B","11","B78","B79",
"B","12","B99","B99",
"B","12","B80","B83",
"D","1","D23","D29",
"D","1","D01","D21",
"D","2","D30","D49",
"D","3","D50","D59",
"D","4","D60","D61",
"D","5","D62","D62",
"D","6","D63","D69",
"D","8","D96","D96",
"D","8","D70","D73",
"D","9","D74","D78",
"D","10","D79","D80",
"D","11","D81","D81",
"D","12","D97","D99",
"D","12","D82","D95",
"F","1","F01","F29",
"F","2","F30","F49",
"F","3","F50","F59",
"F","4","F60","F61",
"F","5","F62","F62",
"F","6","F63","F69",
"F","8","F72","F73",
"F","8","F70","F70",
"F","9","F74","F74",
"F","10","F75","F79",
"F","11","F80","F81",
"F","12","F82","F99",
"F","12","F71","F71",
"H","1","H01","H29",
"H","2","H30","H49",
"H","3","H50","H59",
"H","4","H60","H61",
"H","5","H62","H62",
"H","6","H63","H69",
"H","8","H70","H72",
"H","8","H74","H74",
"H","9","H75","H75",
"H","10","H76","H79",
"H","10","H85","H85",
"H","11","H80","H80",
"H","12","H73","H73",
"H","12","H86","H86",
"H","12","H81","H84",
"H","12","H99","H99",
"K","1","K01","K29",
"K","1","K85","K85",
"K","2","K30","K49",
"K","3","K50","K59",
"K","4","K60","K61",
"K","5","K62","K62",
"K","6","K63","K69",
"K","8","K70","K71",
"K","9","K72","K72",
"K","11","K73","K73",
"K","12","K86","K99",
"K","12","K74","K84",
"L","1","L01","L29",
"L","2","L30","L49",
"L","3","L50","L59",
"L","4","L60","L61",
"L","5","L62","L62",
"L","6","L63","L69",
"L","8","L70","L70",
"L","9","L97","L97",
"L","9","L71","L71",
"L","10","L96","L96",
"L","10","L72","L81",
"L","11","L82","L82",
"L","12","L83","L95",
"L","12","L98","L99",
"N","1","N01","N29",
"N","2","N30","N49",
"N","3","N50","N59",
"N","4","N60","N61",
"N","5","N62","N62",
"N","6","N63","N69",
"N","8","N70","N73",
"N","9","N74","N76",
"N","10","N79","N81",
"N","11","N85","N85",
"N","12","N86","N99",
"P","1","P20","P29",
"P","1","P01","P13",
"P","2","P30","P49",
"P","3","P50","P59",
"P","4","P60","P61",
"P","5","P62","P62",
"P","6","P63","P69",
"P","10","P77","P77",
"P","10","P15","P19",
"P","11","P85","P85",
"P","12","P70","P76",
"P","12","P78","P82",
"P","12","P98","P99",
"P","12","P86","P86",
"R","1","R98","R98",
"R","1","R01","R29",
"R","2","R30","R49",
"R","3","R50","R59",
"R","4","R60","R61",
"R","5","R62","R62",
"R","6","R63","R69",
"R","8","R71","R83",
"R","9","R84","R86",
"R","9","R92","R92",
"R","10","R87","R88",
"R","11","R89","R89",
"R","12","R90","R90",
"R","12","R93","R97",
"R","12","R99","R99",
"S","1","S20","S29",
"S","1","S01","S02",
"S","1","S04","S08",
"S","2","S30","S49",
"S","3","S50","S59",
"S","4","S60","S61",
"S","5","S62","S62",
"S","6","S63","S69",
"S","8","S09","S11",
"S","8","S70","S76",
"S","8","S95","S95",
"S","8","S03","S03",
"S","9","S77","S79",
"S","10","S12","S19",
"S","11","S81","S83",
"S","12","S96","S99",
"S","12","S80","S80",
"S","12","S84","S94",
"T","1","T01","T29",
"T","2","T30","T49",
"T","3","T50","T59",
"T","4","T60","T61",
"T","5","T62","T62",
"T","6","T63","T69",
"T","8","T70","T70",
"T","9","T71","T73",
"T","11","T78","T80",
"T","12","T81","T99",
"U","1","U01","U29",
"U","2","U30","U49",
"U","3","U50","U59",
"U","4","U60","U61",
"U","5","U62","U62",
"U","6","U63","U69",
"U","8","U70","U72",
"U","9","U75","U79",
"U","10","U80","U80",
"U","11","U85","U85",
"U","12","U88","U99",
"W","1","W01","W29",
"W","2","W30","W49",
"W","3","W50","W59",
"W","4","W60","W61",
"W","5","W62","W62",
"W","6","W63","W69",
"W","8","W70","W71",
"W","8","W94","W94",
"W","9","W72","W73",
"W","10","W75","W75",
"W","11","W76","W76",
"W","12","W78","W93",
"W","12","W95","W99",
"X","1","X01","X29",
"X","2","X30","X49",
"X","3","X50","X59",
"X","4","X60","X61",
"X","5","X62","X62",
"X","6","X63","X69",
"X","8","X90","X92",
"X","8","X84","X84",
"X","8","X70","X74",
"X","9","X75","X81",
"X","10","X82","X82",
"X","11","X83","X83",
"X","12","X85","X89",
"X","12","X99","X99",
"Y","1","Y01","Y29",
"Y","2","Y30","Y49",
"Y","3","Y50","Y59",
"Y","4","Y60","Y61",
"Y","5","Y62","Y62",
"Y","6","Y63","Y69",
"Y","8","Y70","Y76",
"Y","9","Y77","Y79",
"Y","10","Y80","Y80",
"Y","11","Y81","Y84",
"Y","12","Y85","Y99",
"Z","1","Z01","Z24",
"Z","1","Z27","Z29",
"Z","10","Z25","Z25",
